epoch,train_loss,train_acc,test_acc
1,141.24928283691406,0.6642857193946838,0.6111111044883728
2,33.89542770385742,0.5571428537368774,0.5555555820465088
3,65.33722686767578,0.6357142925262451,0.5555555820465088
4,33.16413116455078,0.7142857313156128,0.6388888955116272
5,47.457176208496094,0.7357142567634583,0.6666666865348816
6,39.55101776123047,0.6714285612106323,0.5555555820465088
7,20.549449920654297,0.6857143044471741,0.6666666865348816
8,24.120738983154297,0.6785714030265808,0.6388888955116272
9,19.884613037109375,0.7285714149475098,0.5833333134651184
10,9.847585678100586,0.800000011920929,0.6666666865348816
11,8.367871284484863,0.6285714507102966,0.5
12,10.961812973022461,0.7428571581840515,0.6388888955116272
13,8.493184089660645,0.6642857193946838,0.5
14,5.320554256439209,0.8571428656578064,0.6944444179534912
15,3.379974126815796,0.8285714387893677,0.75
16,4.608677387237549,0.8142856955528259,0.7222222089767456
17,4.762973308563232,0.8071428537368774,0.7777777910232544
18,4.732454776763916,0.8571428656578064,0.7777777910232544
19,4.8807454109191895,0.8785714507102966,0.7777777910232544
20,3.878596305847168,0.8928571343421936,0.8055555820465088
21,2.286345958709717,0.8142856955528259,0.7222222089767456
22,2.4190304279327393,0.8714285492897034,0.7222222089767456
23,1.5540457963943481,0.8857142925262451,0.7777777910232544
24,1.017491340637207,0.8642857074737549,0.75
25,1.3954205513000488,0.8142856955528259,0.7222222089767456
26,1.719819188117981,0.8357142806053162,0.7777777910232544
27,1.2692910432815552,0.9071428775787354,0.7777777910232544
28,0.8952367901802063,0.9357143044471741,0.8333333134651184
29,0.49856653809547424,0.9357143044471741,0.8055555820465088
30,0.4436474144458771,0.8928571343421936,0.7777777910232544
31,0.9333837032318115,0.949999988079071,0.8055555820465088
32,0.5453141331672668,0.9357143044471741,0.8055555820465088
33,0.6941912770271301,0.949999988079071,0.7777777910232544
34,0.7013471126556396,0.9571428298950195,0.8611111044883728
35,0.4402382969856262,0.9571428298950195,0.8333333134651184
36,0.2167053371667862,0.8785714507102966,0.8055555820465088
37,0.5340309143066406,0.9714285731315613,0.8055555820465088
38,0.23593494296073914,0.9428571462631226,0.8055555820465088
39,0.5589639544487,0.949999988079071,0.8055555820465088
40,0.3544982373714447,0.9642857313156128,0.8055555820465088
41,0.1630922257900238,0.8928571343421936,0.7777777910232544
42,0.7493016719818115,0.9642857313156128,0.7777777910232544
43,0.15397092700004578,0.9571428298950195,0.7777777910232544
44,0.3925575613975525,0.9571428298950195,0.7777777910232544
45,0.4396109879016876,0.9714285731315613,0.8055555820465088
46,0.22611460089683533,0.9571428298950195,0.7777777910232544
47,0.11505831032991409,0.8857142925262451,0.75
48,0.5742251873016357,0.9785714149475098,0.7777777910232544
49,0.2184552401304245,0.9571428298950195,0.7777777910232544
50,0.5706084966659546,0.949999988079071,0.7777777910232544
51,0.6008114218711853,0.9642857313156128,0.7777777910232544
52,0.3011915981769562,0.9714285731315613,0.7777777910232544
53,0.06521352380514145,0.8500000238418579,0.75
54,1.0989292860031128,0.9785714149475098,0.8055555820465088
55,0.13195866346359253,0.9428571462631226,0.75
56,0.5504820346832275,0.9357143044471741,0.75
57,0.6205291748046875,0.9785714149475098,0.7777777910232544
58,0.17940671741962433,0.9142857193946838,0.7777777910232544
59,0.28387224674224854,0.9714285731315613,0.8055555820465088
60,0.08599094301462173,0.9857142567634583,0.8333333134651184
61,0.13288523256778717,0.9785714149475098,0.8055555820465088
62,0.20445483922958374,0.9785714149475098,0.8333333134651184
63,0.19070984423160553,0.9857142567634583,0.8333333134651184
64,0.11526106297969818,0.949999988079071,0.7777777910232544
65,0.14456820487976074,0.9785714149475098,0.8055555820465088
66,0.06780749559402466,0.9857142567634583,0.8333333134651184
67,0.06617466360330582,0.9857142567634583,0.8333333134651184
68,0.04938438534736633,0.9357143044471741,0.7777777910232544
69,0.06888806074857712,0.9785714149475098,0.8333333134651184
70,0.08065512031316757,0.9785714149475098,0.8333333134651184
71,0.09017669409513474,0.9785714149475098,0.8333333134651184
72,0.05536707863211632,0.9357143044471741,0.8055555820465088
73,0.06909453868865967,0.9785714149475098,0.8055555820465088
74,0.10827465355396271,0.9785714149475098,0.7777777910232544
75,0.11346948146820068,0.9785714149475098,0.8055555820465088
76,0.04477526247501373,0.9285714030265808,0.7777777910232544
77,0.20666702091693878,0.9785714149475098,0.75
78,0.14145588874816895,0.9785714149475098,0.75
79,0.24866844713687897,0.9785714149475098,0.75
80,0.20252087712287903,0.9857142567634583,0.8055555820465088
81,0.0843878760933876,0.9214285612106323,0.7777777910232544
82,0.27453628182411194,0.9785714149475098,0.7777777910232544
83,0.0998506247997284,0.9785714149475098,0.75
84,0.18710340559482574,0.9785714149475098,0.75
85,0.20520742237567902,0.9857142567634583,0.8055555820465088
86,0.14711640775203705,0.9785714149475098,0.8055555820465088
87,0.08781009912490845,0.9142857193946838,0.7777777910232544
88,0.3279563784599304,0.9857142567634583,0.8055555820465088
89,0.12932811677455902,0.9785714149475098,0.7777777910232544
